shape_signature,dtype,head_size,block_size,num_seqs,total_q,max_seqlen_q,max_seqlen_k,sliding_window,triton_latency_ms,rocke_latency_ms,speedup_triton_over_ckdsl,rocke_correct_max_abs,rocke_policy,cap_blocks
d64_b32_h64kv8_q7031_k10178_ns70_tq8192_sw128_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,70,8192,7031,10178,128,0.10588514804840088,0.09734904766082764,1.0877,0.007812,production_dispatch,131072
d64_b32_h64kv8_q8111_k10193_ns82_tq8192_sw0_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,82,8192,8111,10193,0,1.7078987121582032,1.9155330657958984,0.8916,0.000488,production_dispatch,131072
d64_b32_h64kv8_q8098_k10209_ns95_tq8192_sw128_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,95,8192,8098,10209,128,0.09222699999809265,0.09093300104141236,1.0142,0.003906,production_dispatch,131072
d64_b32_h64kv8_q8086_k10224_ns107_tq8192_sw0_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,107,8192,8086,10224,0,1.67694034576416,1.9999660491943358,0.8385,0.000488,production_dispatch,131072
d64_b32_h64kv8_q8073_k10240_ns120_tq8192_sw128_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,120,8192,8073,10240,128,0.10927720069885254,0.1006471037864685,1.0857,0.007812,production_dispatch,131072
d64_b32_h64kv8_q7945_k10255_ns133_tq8192_sw0_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,133,8192,7945,10255,0,1.741499137878418,2.017652130126953,0.8631,0.000488,production_dispatch,131072
d64_b32_h64kv8_q8048_k10271_ns145_tq8192_sw128_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,145,8192,8048,10271,128,0.09493904709815978,0.09164100289344787,1.036,0.007812,production_dispatch,131072
d64_b32_h64kv8_q8036_k10286_ns157_tq8192_sw0_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,157,8192,8036,10286,0,2.368964958190918,2.027018165588379,1.1687,0.000488,production_dispatch,131072
d64_b32_h64kv8_q8023_k10302_ns170_tq8192_sw128_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,170,8192,8023,10302,128,0.1099012017250061,0.10111509561538697,1.0869,0.007812,production_dispatch,131072
d64_b32_h64kv8_q8011_k10317_ns182_tq8192_sw0_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,182,8192,8011,10317,0,1.7466772079467774,2.052794647216797,0.8509,0.000488,production_dispatch,131072
