shape_signature,dtype,head_size,block_size,num_seqs,total_q,max_seqlen_q,max_seqlen_k,sliding_window,triton_latency_ms,rocke_latency_ms,speedup_triton_over_ckdsl,rocke_correct_max_abs,rocke_policy,cap_blocks
d64_b32_h64kv8_q1000_k1011_ns92_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,92,8192,1000,1011,0,0.3281209468841553,0.3193368911743164,1.0275,0.000977,production_dispatch,65536
d64_b32_h64kv8_q1000_k1012_ns100_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,100,8192,1000,1012,128,0.10956364870071411,0.10936813354492188,1.0018,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1012_ns100_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,100,8192,1000,1012,0,0.3528635501861572,0.33868348598480225,1.0419,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1013_ns108_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,108,8192,1000,1013,128,0.10128209590911866,0.10899263620376587,0.9293,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1013_ns108_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,108,8192,1000,1013,0,0.3343954563140869,0.32045888900756836,1.0435,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1014_ns116_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,116,8192,1000,1014,128,0.10436811447143554,0.10574761629104615,0.987,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1014_ns116_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,116,8192,1000,1014,0,0.36231811046600343,0.335483455657959,1.08,0.003906,production_dispatch,65536
d64_b32_h64kv8_q1000_k1015_ns125_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,125,8192,1000,1015,128,0.11071765422821045,0.11306766271591187,0.9792,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1015_ns125_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,125,8192,1000,1015,0,0.38901629447937014,0.355936598777771,1.0929,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1016_ns133_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,133,8192,1000,1016,128,0.10773313045501709,0.11029763221740722,0.9767,0.003906,production_dispatch,65536
